Name of the body; position x; position y; position z; mass of the body
sun; 0; 0; 0; 39.4784
jupiter; 4.84143; -1.16032; -0.103622; 0.0376937
saturn; 8.34337; 4.1248; -0.403523; 0.0112863
uranus; 12.8944; -15.1112; -0.223308; 0.00172372
neptune; 15.3797; -25.9193; 0.179259; 0.00203369
sun; -3.7168e-06; -3.27838e-05; 2.35627e-07; 39.4784
jupiter; 4.84734; -1.13216; -0.103871; 0.0376937
saturn; 8.33322; 4.14303; -0.403437; 0.0112863
uranus; 12.9052; -15.1025; -0.223416; 0.00172372
neptune; 15.3895; -25.9134; 0.178911; 0.00203369
sun; -7.27352e-06; -6.55969e-05; 4.67515e-07; 39.4784
jupiter; 4.85309; -1.10397; -0.104116; 0.0376937
saturn; 8.32303; 4.16125; -0.403349; 0.0112863
uranus; 12.916; -15.0938; -0.223524; 0.00172372
neptune; 15.3993; -25.9074; 0.178564; 0.00203369
sun; -1.06699e-05; -9.84384e-05; 6.95655e-07; 39.4784
jupiter; 4.85869; -1.07574; -0.104359; 0.0376937
saturn; 8.3128; 4.17945; -0.403259; 0.0112863
uranus; 12.9268; -15.085; -0.223632; 0.00172372
neptune; 15.4091; -25.9015; 0.178216; 0.00203369
sun; -1.39058e-05; -0.000131308; 9.20038e-07; 39.4784
jupiter; 4.86413; -1.04748; -0.104598; 0.0376937
saturn; 8.30253; 4.19762; -0.403167; 0.0112863
uranus; 12.9376; -15.0763; -0.22374; 0.00172372
neptune; 15.4188; -25.8955; 0.177868; 0.00203369
sun; -1.6981e-05; -0.000164203; 1.14066e-06; 39.4784
jupiter; 4.86942; -1.01918; -0.104833; 0.0376937
saturn; 8.29222; 4.21578; -0.403073; 0.0112863
uranus; 12.9484; -15.0676; -0.223848; 0.00172372
neptune; 15.4286; -25.8895; 0.177521; 0.00203369
sun; -1.98951e-05; -0.000197125; 1.3575e-06; 39.4784
jupiter; 4.87455; -0.990852; -0.105065; 0.0376937
saturn; 8.28186; 4.23391; -0.402977; 0.0112863
uranus; 12.9592; -15.0589; -0.223955; 0.00172372
neptune; 15.4384; -25.8836; 0.177173; 0.00203369
sun; -2.26482e-05; -0.000230071; 1.57056e-06; 39.4784
jupiter; 4.87953; -0.962491; -0.105294; 0.0376937
saturn; 8.27147; 4.25202; -0.402879; 0.0112863
uranus; 12.97; -15.0501; -0.224063; 0.00172372
neptune; 15.4482; -25.8776; 0.176825; 0.00203369
sun; -2.52398e-05; -0.000263042; 1.77983e-06; 39.4784
jupiter; 4.88434; -0.934099; -0.10552; 0.0376937
saturn; 8.26104; 4.27012; -0.402779; 0.0112863
uranus; 12.9808; -15.0414; -0.22417; 0.00172372
neptune; 15.4579; -25.8716; 0.176477; 0.00203369
sun; -2.76698e-05; -0.000296036; 1.9853e-06; 39.4784
jupiter; 4.88901; -0.905677; -0.105742; 0.0376937
saturn; 8.25057; 4.28819; -0.402677; 0.0112863
uranus; 12.9915; -15.0326; -0.224277; 0.00172372
neptune; 15.4677; -25.8656; 0.17613; 0.00203369
sun; -2.99381e-05; -0.000329052; 2.18696e-06; 39.4784
jupiter; 4.89351; -0.877226; -0.10596; 0.0376937
saturn; 8.24005; 4.30624; -0.402573; 0.0112863
uranus; 13.0023; -15.0239; -0.224385; 0.00172372
neptune; 15.4775; -25.8596; 0.175782; 0.00203369
sun; -3.20445e-05; -0.000362089; 2.3848e-06; 39.4784
jupiter; 4.89786; -0.848747; -0.106175; 0.0376937
saturn; 8.2295; 4.32427; -0.402467; 0.0112863
uranus; 13.013; -15.0151; -0.224492; 0.00172372
neptune; 15.4873; -25.8537; 0.175434; 0.00203369
sun; -3.39887e-05; -0.000395147; 2.57883e-06; 39.4784
jupiter; 4.90205; -0.820241; -0.106387; 0.0376937
saturn; 8.2189; 4.34227; -0.402359; 0.0112863
uranus; 13.0238; -15.0063; -0.224599; 0.00172372
neptune; 15.497; -25.8477; 0.175086; 0.00203369
sun; -3.57705e-05; -0.000428224; 2.76902e-06; 39.4784
jupiter; 4.90608; -0.791708; -0.106596; 0.0376937
saturn; 8.20827; 4.36026; -0.40225; 0.0112863
uranus; 13.0345; -14.9975; -0.224706; 0.00172372
neptune; 15.5068; -25.8417; 0.174738; 0.00203369
sun; -3.73899e-05; -0.00046132; 2.95537e-06; 39.4784
jupiter; 4.90996; -0.76315; -0.106801; 0.0376937
saturn; 8.19759; 4.37822; -0.402138; 0.0112863
uranus; 13.0453; -14.9887; -0.224812; 0.00172372
neptune; 15.5165; -25.8357; 0.17439; 0.00203369
sun; -3.88467e-05; -0.000494434; 3.13787e-06; 39.4784
jupiter; 4.91367; -0.734567; -0.107002; 0.0376937
saturn; 8.18688; 4.39617; -0.402024; 0.0112863
uranus; 13.056; -14.9799; -0.224919; 0.00172372
neptune; 15.5263; -25.8297; 0.174042; 0.00203369
sun; -4.01406e-05; -0.000527565; 3.31652e-06; 39.4784
jupiter; 4.91723; -0.70596; -0.1072; 0.0376937
saturn; 8.17612; 4.41409; -0.401908; 0.0112863
uranus; 13.0667; -14.9711; -0.225025; 0.00172372
neptune; 15.536; -25.8237; 0.173694; 0.00203369
sun; -4.12716e-05; -0.000560712; 3.49131e-06; 39.4784
jupiter; 4.92063; -0.677331; -0.107395; 0.0376937
saturn; 8.16532; 4.43199; -0.40179; 0.0112863
uranus; 13.0774; -14.9623; -0.225132; 0.00172372
neptune; 15.5458; -25.8176; 0.173346; 0.00203369
sun; -4.22394e-05; -0.000593874; 3.66223e-06; 39.4784
jupiter; 4.92388; -0.64868; -0.107586; 0.0376937
saturn; 8.15449; 4.44987; -0.401671; 0.0112863
uranus; 13.0882; -14.9535; -0.225238; 0.00172372
neptune; 15.5556; -25.8116; 0.172998; 0.00203369
sun; -4.3044e-05; -0.00062705; 3.82928e-06; 39.4784
jupiter; 4.92696; -0.620008; -0.107774; 0.0376937
saturn; 8.14361; 4.46772; -0.401549; 0.0112863
uranus; 13.0989; -14.9447; -0.225344; 0.00172372
neptune; 15.5653; -25.8056; 0.17265; 0.00203369
sun; -4.36852e-05; -0.000660239; 3.99244e-06; 39.4784
jupiter; 4.92988; -0.591316; -0.107958; 0.0376937
saturn; 8.1327; 4.48556; -0.401425; 0.0112863
uranus; 13.1096; -14.9358; -0.22545; 0.00172372
neptune; 15.575; -25.7996; 0.172302; 0.00203369
sun; -4.41629e-05; -0.000693441; 4.15171e-06; 39.4784
jupiter; 4.93265; -0.562605; -0.108139; 0.0376937
saturn; 8.12174; 4.50337; -0.4013; 0.0112863
uranus; 13.1202; -14.927; -0.225556; 0.00172372
neptune; 15.5848; -25.7936; 0.171954; 0.00203369
sun; -4.44769e-05; -0.000726654; 4.30709e-06; 39.4784
jupiter; 4.93526; -0.533876; -0.108317; 0.0376937
saturn; 8.11074; 4.52116; -0.401172; 0.0112863
uranus; 13.1309; -14.9181; -0.225662; 0.00172372
neptune; 15.5945; -25.7875; 0.171606; 0.00203369
sun; -4.46271e-05; -0.000759878; 4.45856e-06; 39.4784
jupiter; 4.93771; -0.50513; -0.10849; 0.0376937
saturn; 8.09971; 4.53893; -0.401042; 0.0112863
uranus; 13.1416; -14.9093; -0.225768; 0.00172372
neptune; 15.6043; -25.7815; 0.171258; 0.00203369
sun; -4.46135e-05; -0.000793112; 4.60612e-06; 39.4784
jupiter; 4.93999; -0.476367; -0.108661; 0.0376937
saturn; 8.08863; 4.55667; -0.400911; 0.0112863
uranus; 13.1523; -14.9004; -0.225874; 0.00172372
neptune; 15.614; -25.7755; 0.17091; 0.00203369
sun; -4.44358e-05; -0.000826354; 4.74977e-06; 39.4784
jupiter; 4.94212; -0.447589; -0.108828; 0.0376937
saturn; 8.07751; 4.57439; -0.400777; 0.0112863
uranus; 13.1629; -14.8915; -0.225979; 0.00172372
neptune; 15.6237; -25.7694; 0.170561; 0.00203369
sun; -4.4094e-05; -0.000859604; 4.88949e-06; 39.4784
jupiter; 4.94409; -0.418797; -0.108991; 0.0376937
saturn; 8.06636; 4.59209; -0.400642; 0.0112863
uranus; 13.1736; -14.8826; -0.226084; 0.00172372
neptune; 15.6335; -25.7634; 0.170213; 0.00203369
sun; -4.3588e-05; -0.000892861; 5.02529e-06; 39.4784
jupiter; 4.9459; -0.389991; -0.109151; 0.0376937
saturn; 8.05516; 4.60977; -0.400504; 0.0112863
uranus; 13.1842; -14.8737; -0.22619; 0.00172372
neptune; 15.6432; -25.7573; 0.169865; 0.00203369
sun; -4.29177e-05; -0.000926124; 5.15715e-06; 39.4784
jupiter; 4.94755; -0.361173; -0.109307; 0.0376937
saturn; 8.04393; 4.62743; -0.400365; 0.0112863
uranus; 13.1949; -14.8648; -0.226295; 0.00172372
neptune; 15.6529; -25.7513; 0.169517; 0.00203369
sun; -4.20831e-05; -0.000959393; 5.28507e-06; 39.4784
jupiter; 4.94905; -0.332342; -0.10946; 0.0376937
saturn; 8.03265; 4.64506; -0.400223; 0.0112863
uranus; 13.2055; -14.8559; -0.2264; 0.00172372
neptune; 15.6627; -25.7452; 0.169168; 0.00203369
sun; -4.10839e-05; -0.000992665; 5.40905e-06; 39.4784
jupiter; 4.95038; -0.303501; -0.109609; 0.0376937
saturn; 8.02134; 4.66267; -0.40008; 0.0112863
uranus; 13.2162; -14.847; -0.226505; 0.00172372
neptune; 15.6724; -25.7392; 0.16882; 0.00203369
sun; -3.99202e-05; -0.00102594; 5.52907e-06; 39.4784
jupiter; 4.95155; -0.274651; -0.109755; 0.0376937
saturn; 8.00998; 4.68025; -0.399934; 0.0112863
uranus; 13.2268; -14.8381; -0.22661; 0.00172372
neptune; 15.6821; -25.7331; 0.168472; 0.00203369
sun; -3.85919e-05; -0.00105922; 5.64514e-06; 39.4784
jupiter; 4.95256; -0.245791; -0.109897; 0.0376937
saturn; 7.99859; 4.69781; -0.399787; 0.0112863
uranus; 13.2374; -14.8292; -0.226714; 0.00172372
neptune; 15.6918; -25.727; 0.168123; 0.00203369
sun; -3.70989e-05; -0.0010925; 5.75724e-06; 39.4784
jupiter; 4.95341; -0.216923; -0.110035; 0.0376937
saturn; 7.98716; 4.71535; -0.399637; 0.0112863
uranus; 13.248; -14.8202; -0.226819; 0.00172372
neptune; 15.7015; -25.721; 0.167775; 0.00203369
sun; -3.54411e-05; -0.00112578; 5.86538e-06; 39.4784
jupiter; 4.9541; -0.188049; -0.11017; 0.0376937
saturn; 7.97568; 4.73287; -0.399486; 0.0112863
uranus; 13.2586; -14.8113; -0.226923; 0.00172372
neptune; 15.7113; -25.7149; 0.167427; 0.00203369
sun; -3.36186e-05; -0.00115906; 5.96954e-06; 39.4784
jupiter; 4.95463; -0.159168; -0.110302; 0.0376937
saturn; 7.96417; 4.75036; -0.399333; 0.0112863
uranus; 13.2692; -14.8023; -0.227028; 0.00172372
neptune; 15.721; -25.7088; 0.167078; 0.00203369
sun; -3.16312e-05; -0.00119234; 6.06973e-06; 39.4784
jupiter; 4.955; -0.130282; -0.11043; 0.0376937
saturn; 7.95262; 4.76783; -0.399177; 0.0112863
uranus; 13.2798; -14.7934; -0.227132; 0.00172372
neptune; 15.7307; -25.7027; 0.16673; 0.00203369
sun; -2.94789e-05; -0.00122561; 6.16593e-06; 39.4784
jupiter; 4.9552; -0.101392; -0.110554; 0.0376937
saturn; 7.94103; 4.78527; -0.39902; 0.0112863
uranus; 13.2904; -14.7844; -0.227236; 0.00172372
neptune; 15.7404; -25.6967; 0.166381; 0.00203369
sun; -2.71617e-05; -0.00125889; 6.25814e-06; 39.4784
jupiter; 4.95525; -0.0724988; -0.110675; 0.0376937
saturn; 7.9294; 4.80269; -0.398861; 0.0112863
uranus; 13.301; -14.7754; -0.22734; 0.00172372
neptune; 15.7501; -25.6906; 0.166033; 0.00203369
sun; -2.46795e-05; -0.00129215; 6.34636e-06; 39.4784
jupiter; 4.95514; -0.0436032; -0.110792; 0.0376937
saturn; 7.91773; 4.82009; -0.3987; 0.0112863
uranus; 13.3115; -14.7665; -0.227444; 0.00172372
neptune; 15.7598; -25.6845; 0.165684; 0.00203369
sun; -2.20324e-05; -0.00132542; 6.43059e-06; 39.4784
jupiter; 4.95487; -0.0147061; -0.110905; 0.0376937
saturn; 7.90602; 4.83747; -0.398536; 0.0112863
uranus; 13.3221; -14.7575; -0.227548; 0.00172372
neptune; 15.7695; -25.6784; 0.165336; 0.00203369
sun; -1.92202e-05; -0.00135868; 6.51081e-06; 39.4784
jupiter; 4.95443; 0.0141914; -0.111015; 0.0376937
saturn; 7.89428; 4.85481; -0.398371; 0.0112863
uranus; 13.3327; -14.7485; -0.227651; 0.00172372
neptune; 15.7792; -25.6723; 0.164987; 0.00203369
sun; -1.62431e-05; -0.00139193; 6.58703e-06; 39.4784
jupiter; 4.95384; 0.0430885; -0.111122; 0.0376937
saturn; 7.88249; 4.87214; -0.398204; 0.0112863
uranus; 13.3432; -14.7395; -0.227755; 0.00172372
neptune; 15.7889; -25.6662; 0.164638; 0.00203369
sun; -1.31009e-05; -0.00142517; 6.65924e-06; 39.4784
jupiter; 4.95308; 0.0719841; -0.111224; 0.0376937
saturn; 7.87066; 4.88944; -0.398035; 0.0112863
uranus; 13.3538; -14.7305; -0.227858; 0.00172372
neptune; 15.7986; -25.6601; 0.16429; 0.00203369
sun; -9.79373e-06; -0.00145841; 6.72744e-06; 39.4784
jupiter; 4.95217; 0.100877; -0.111323; 0.0376937
saturn; 7.8588; 4.90672; -0.397864; 0.0112863
uranus; 13.3643; -14.7214; -0.227962; 0.00172372
neptune; 15.8083; -25.654; 0.163941; 0.00203369
sun; -6.32152e-06; -0.00149163; 6.79162e-06; 39.4784
jupiter; 4.95109; 0.129767; -0.111419; 0.0376937
saturn; 7.84689; 4.92397; -0.397691; 0.0112863
uranus; 13.3748; -14.7124; -0.228065; 0.00172372
neptune; 15.818; -25.6478; 0.163592; 0.00203369
sun; -2.68431e-06; -0.00152485; 6.85178e-06; 39.4784
jupiter; 4.94985; 0.158653; -0.111511; 0.0376937
saturn; 7.83495; 4.9412; -0.397516; 0.0112863
uranus; 13.3853; -14.7034; -0.228168; 0.00172372
neptune; 15.8277; -25.6417; 0.163244; 0.00203369
sun; 1.11789e-06; -0.00155805; 6.90791e-06; 39.4784
jupiter; 4.94845; 0.187534; -0.111599; 0.0376937
saturn; 7.82297; 4.9584; -0.397338; 0.0112863
uranus; 13.3959; -14.6943; -0.228271; 0.00172372
neptune; 15.8373; -25.6356; 0.162895; 0.00203369
sun; 5.08506e-06; -0.00159124; 6.96002e-06; 39.4784
jupiter; 4.9469; 0.216408; -0.111684; 0.0376937
saturn; 7.81095; 4.97558; -0.397159; 0.0112863
uranus; 13.4064; -14.6853; -0.228374; 0.00172372
neptune; 15.847; -25.6295; 0.162546; 0.00203369
sun; 9.21717e-06; -0.00162442; 7.00809e-06; 39.4784
jupiter; 4.94518; 0.245276; -0.111765; 0.0376937
saturn; 7.79889; 4.99273; -0.396978; 0.0112863
uranus; 13.4169; -14.6762; -0.228477; 0.00172372
neptune; 15.8567; -25.6233; 0.162198; 0.00203369
sun; 1.35142e-05; -0.00165758; 7.05213e-06; 39.4784
jupiter; 4.9433; 0.274135; -0.111842; 0.0376937
saturn; 7.78679; 5.00986; -0.396795; 0.0112863
uranus; 13.4274; -14.6672; -0.228579; 0.00172372
neptune; 15.8664; -25.6172; 0.161849; 0.00203369
sun; 1.79761e-05; -0.00169073; 7.09213e-06; 39.4784
jupiter; 4.94125; 0.302985; -0.111916; 0.0376937
saturn; 7.77466; 5.02697; -0.396611; 0.0112863
uranus; 13.4379; -14.6581; -0.228682; 0.00172372
neptune; 15.8761; -25.6111; 0.1615; 0.00203369
sun; 2.26028e-05; -0.00172386; 7.12809e-06; 39.4784
jupiter; 4.93905; 0.331826; -0.111986; 0.0376937
saturn; 7.76248; 5.04405; -0.396424; 0.0112863
uranus; 13.4483; -14.649; -0.228784; 0.00172372
neptune; 15.8857; -25.6049; 0.161151; 0.00203369
sun; 2.73943e-05; -0.00175698; 7.16001e-06; 39.4784
jupiter; 4.93669; 0.360656; -0.112053; 0.0376937
saturn; 7.75027; 5.0611; -0.396235; 0.0112863
uranus; 13.4588; -14.6399; -0.228887; 0.00172372
neptune; 15.8954; -25.5988; 0.160802; 0.00203369
sun; 3.23505e-05; -0.00179007; 7.18788e-06; 39.4784
jupiter; 4.93417; 0.389474; -0.112115; 0.0376937
saturn; 7.73802; 5.07813; -0.396044; 0.0112863
uranus; 13.4693; -14.6309; -0.228989; 0.00172372
neptune; 15.9051; -25.5926; 0.160453; 0.00203369
sun; 3.74714e-05; -0.00182315; 7.21171e-06; 39.4784
jupiter; 4.93149; 0.418279; -0.112175; 0.0376937
saturn; 7.72572; 5.09513; -0.395851; 0.0112863
uranus; 13.4798; -14.6218; -0.229091; 0.00172372
neptune; 15.9147; -25.5865; 0.160104; 0.00203369
sun; 4.27568e-05; -0.00185621; 7.23148e-06; 39.4784
jupiter; 4.92864; 0.447071; -0.11223; 0.0376937
saturn; 7.7134; 5.11211; -0.395656; 0.0112863
uranus; 13.4902; -14.6127; -0.229193; 0.00172372
neptune; 15.9244; -25.5803; 0.159755; 0.00203369
sun; 4.82068e-05; -0.00188925; 7.2472e-06; 39.4784
jupiter; 4.92564; 0.475848; -0.112282; 0.0376937
saturn; 7.70103; 5.12906; -0.395459; 0.0112863
uranus; 13.5007; -14.6035; -0.229295; 0.00172372
neptune; 15.9341; -25.5742; 0.159406; 0.00203369
sun; 5.38211e-05; -0.00192226; 7.25886e-06; 39.4784
jupiter; 4.92247; 0.50461; -0.11233; 0.0376937
saturn; 7.68862; 5.14599; -0.395261; 0.0112863
uranus; 13.5111; -14.5944; -0.229396; 0.00172372
neptune; 15.9437; -25.568; 0.159058; 0.00203369
sun; 5.95999e-05; -0.00195526; 7.26647e-06; 39.4784
jupiter; 4.91915; 0.533355; -0.112375; 0.0376937
saturn; 7.67618; 5.16289; -0.39506; 0.0112863
uranus; 13.5215; -14.5853; -0.229498; 0.00172372
neptune; 15.9534; -25.5618; 0.158708; 0.00203369
sun; 6.55429e-05; -0.00198823; 7.27002e-06; 39.4784
jupiter; 4.91566; 0.562083; -0.112416; 0.0376937
saturn; 7.6637; 5.17977; -0.394857; 0.0112863
uranus; 13.532; -14.5762; -0.229599; 0.00172372
neptune; 15.963; -25.5557; 0.158359; 0.00203369
sun; 7.165e-05; -0.00202117; 7.2695e-06; 39.4784
jupiter; 4.91202; 0.590792; -0.112453; 0.0376937
saturn; 7.65118; 5.19661; -0.394653; 0.0112863
uranus; 13.5424; -14.567; -0.229701; 0.00172372
neptune; 15.9727; -25.5495; 0.15801; 0.00203369
sun; 7.79212e-05; -0.00205409; 7.26493e-06; 39.4784
jupiter; 4.90821; 0.619482; -0.112487; 0.0376937
saturn; 7.63862; 5.21344; -0.394446; 0.0112863
uranus; 13.5528; -14.5579; -0.229802; 0.00172372
neptune; 15.9823; -25.5433; 0.157661; 0.00203369
sun; 8.43564e-05; -0.00208699; 7.25629e-06; 39.4784
jupiter; 4.90425; 0.648152; -0.112517; 0.0376937
saturn; 7.62602; 5.23024; -0.394237; 0.0112863
uranus; 13.5632; -14.5487; -0.229903; 0.00172372
neptune; 15.992; -25.5371; 0.157312; 0.00203369
sun; 9.09554e-05; -0.00211986; 7.24358e-06; 39.4784
jupiter; 4.90012; 0.676801; -0.112543; 0.0376937
saturn; 7.61339; 5.24701; -0.394027; 0.0112863
uranus; 13.5736; -14.5395; -0.230004; 0.00172372
neptune; 16.0016; -25.531; 0.156963; 0.00203369
sun; 9.7718e-05; -0.0021527; 7.22681e-06; 39.4784
jupiter; 4.89584; 0.705428; -0.112566; 0.0376937
saturn; 7.60071; 5.26375; -0.393814; 0.0112863
uranus; 13.584; -14.5304; -0.230105; 0.00172372
neptune; 16.0113; -25.5248; 0.156614; 0.00203369
sun; 0.000104644; -0.00218551; 7.20597e-06; 39.4784
jupiter; 4.8914; 0.734031; -0.112585; 0.0376937
saturn; 7.588; 5.28047; -0.3936; 0.0112863
uranus; 13.5944; -14.5212; -0.230206; 0.00172372
neptune; 16.0209; -25.5186; 0.156265; 0.00203369
sun; 0.000111734; -0.00221829; 7.18106e-06; 39.4784
jupiter; 4.88679; 0.762611; -0.1126; 0.0376937
saturn; 7.57525; 5.29716; -0.393383; 0.0112863
uranus; 13.6048; -14.512; -0.230307; 0.00172372
neptune; 16.0306; -25.5124; 0.155916; 0.00203369
sun; 0.000118987; -0.00225103; 7.15209e-06; 39.4784
jupiter; 4.88203; 0.791166; -0.112611; 0.0376937
saturn; 7.56247; 5.31383; -0.393165; 0.0112863
uranus; 13.6152; -14.5028; -0.230407; 0.00172372
neptune; 16.0402; -25.5062; 0.155566; 0.00203369
sun; 0.000126403; -0.00228375; 7.11904e-06; 39.4784
jupiter; 4.87711; 0.819695; -0.112619; 0.0376937
saturn; 7.54964; 5.33047; -0.392944; 0.0112863
uranus; 13.6255; -14.4936; -0.230508; 0.00172372
neptune; 16.0498; -25.5; 0.155217; 0.00203369
sun; 0.000133982; -0.00231644; 7.08192e-06; 39.4784
jupiter; 4.87203; 0.848197; -0.112624; 0.0376937
saturn; 7.53678; 5.34708; -0.392722; 0.0112863
uranus; 13.6359; -14.4844; -0.230608; 0.00172372
neptune; 16.0595; -25.4938; 0.154868; 0.00203369
sun; 0.000141725; -0.00234909; 7.04073e-06; 39.4784
jupiter; 4.86679; 0.876671; -0.112624; 0.0376937
saturn; 7.52388; 5.36367; -0.392498; 0.0112863
uranus; 13.6462; -14.4752; -0.230708; 0.00172372
neptune; 16.0691; -25.4876; 0.154519; 0.00203369
sun; 0.000149629; -0.0023817; 6.99547e-06; 39.4784
jupiter; 4.86139; 0.905117; -0.112621; 0.0376937
saturn; 7.51094; 5.38022; -0.392271; 0.0112863
uranus; 13.6566; -14.466; -0.230808; 0.00172372
neptune; 16.0787; -25.4813; 0.154169; 0.00203369
sun; 0.000157697; -0.00241429; 6.94614e-06; 39.4784
jupiter; 4.85584; 0.933534; -0.112615; 0.0376937
saturn; 7.49797; 5.39676; -0.392043; 0.0112863
uranus; 13.6669; -14.4567; -0.230908; 0.00172372
neptune; 16.0883; -25.4751; 0.15382; 0.00203369
sun; 0.000165926; -0.00244683; 6.89274e-06; 39.4784
jupiter; 4.85012; 0.961919; -0.112604; 0.0376937
saturn; 7.48496; 5.41326; -0.391813; 0.0112863
uranus; 13.6773; -14.4475; -0.231008; 0.00172372
neptune; 16.098; -25.4689; 0.153471; 0.00203369
sun; 0.000174318; -0.00247934; 6.83527e-06; 39.4784
jupiter; 4.84425; 0.990274; -0.11259; 0.0376937
saturn; 7.47191; 5.42974; -0.39158; 0.0112863
uranus; 13.6876; -14.4382; -0.231108; 0.00172372
neptune; 16.1076; -25.4627; 0.153121; 0.00203369
sun; 0.000182872; -0.00251181; 6.77372e-06; 39.4784
jupiter; 4.83822; 1.0186; -0.112572; 0.0376937
saturn; 7.45882; 5.44619; -0.391346; 0.0112863
uranus; 13.6979; -14.429; -0.231208; 0.00172372
neptune; 16.1172; -25.4564; 0.152772; 0.00203369
sun; 0.000191588; -0.00254424; 6.70811e-06; 39.4784
jupiter; 4.83203; 1.04688; -0.112551; 0.0376937
saturn; 7.4457; 5.46261; -0.39111; 0.0112863
uranus; 13.7082; -14.4197; -0.231307; 0.00172372
neptune; 16.1268; -25.4502; 0.152422; 0.00203369
sun; 0.000200465; -0.00257663; 6.63843e-06; 39.4784
jupiter; 4.82568; 1.07514; -0.112526; 0.0376937
saturn; 7.43254; 5.47901; -0.390872; 0.0112863
uranus; 13.7185; -14.4105; -0.231406; 0.00172372
neptune; 16.1364; -25.444; 0.152073; 0.00203369
sun; 0.000209504; -0.00260898; 6.56467e-06; 39.4784
jupiter; 4.81918; 1.10336; -0.112497; 0.0376937
saturn; 7.41934; 5.49537; -0.390632; 0.0112863
uranus; 13.7288; -14.4012; -0.231506; 0.00172372
neptune; 16.146; -25.4377; 0.151724; 0.00203369
sun; 0.000218703; -0.00264128; 6.48685e-06; 39.4784
jupiter; 4.81252; 1.13154; -0.112465; 0.0376937
saturn; 7.4061; 5.51172; -0.39039; 0.0112863
uranus; 13.7391; -14.3919; -0.231605; 0.00172372
neptune; 16.1557; -25.4315; 0.151374; 0.00203369
sun; 0.000228064; -0.00267355; 6.40496e-06; 39.4784
jupiter; 4.8057; 1.15969; -0.112428; 0.0376937
saturn; 7.39283; 5.52803; -0.390146; 0.0112863
uranus; 13.7494; -14.3826; -0.231704; 0.00172372
neptune; 16.1653; -25.4252; 0.151025; 0.00203369
sun; 0.000237586; -0.00270577; 6.31901e-06; 39.4784
jupiter; 4.79872; 1.1878; -0.112389; 0.0376937
saturn; 7.37952; 5.54431; -0.3899; 0.0112863
uranus; 13.7597; -14.3733; -0.231803; 0.00172372
neptune; 16.1749; -25.419; 0.150675; 0.00203369
sun; 0.000247268; -0.00273795; 6.22899e-06; 39.4784
jupiter; 4.79159; 1.21587; -0.112345; 0.0376937
saturn; 7.36617; 5.56057; -0.389652; 0.0112863
uranus; 13.77; -14.364; -0.231902; 0.00172372
neptune; 16.1845; -25.4127; 0.150326; 0.00203369
sun; 0.00025711; -0.00277008; 6.13491e-06; 39.4784
jupiter; 4.7843; 1.2439; -0.112298; 0.0376937
saturn; 7.35279; 5.5768; -0.389402; 0.0112863
uranus; 13.7802; -14.3547; -0.232; 0.00172372
neptune; 16.1941; -25.4065; 0.149976; 0.00203369
sun; 0.000267113; -0.00280216; 6.03676e-06; 39.4784
jupiter; 4.77686; 1.27189; -0.112247; 0.0376937
saturn; 7.33937; 5.593; -0.38915; 0.0112863
uranus; 13.7905; -14.3454; -0.232099; 0.00172372
neptune; 16.2037; -25.4002; 0.149626; 0.00203369
sun; 0.000277275; -0.0028342; 5.93456e-06; 39.4784
jupiter; 4.76926; 1.29983; -0.112193; 0.0376937
saturn; 7.32591; 5.60917; -0.388897; 0.0112863
uranus; 13.8007; -14.3361; -0.232198; 0.00172372
neptune; 16.2133; -25.394; 0.149277; 0.00203369
sun; 0.000287597; -0.00286619; 5.82829e-06; 39.4784
jupiter; 4.7615; 1.32774; -0.112135; 0.0376937
saturn; 7.31241; 5.62532; -0.388641; 0.0112863
uranus; 13.811; -14.3267; -0.232296; 0.00172372
neptune; 16.2228; -25.3877; 0.148927; 0.00203369
sun; 0.000298078; -0.00289813; 5.71797e-06; 39.4784
jupiter; 4.75359; 1.3556; -0.112073; 0.0376937
saturn; 7.29888; 5.64143; -0.388383; 0.0112863
uranus; 13.8212; -14.3174; -0.232394; 0.00172372
neptune; 16.2324; -25.3814; 0.148578; 0.00203369
sun; 0.000308719; -0.00293002; 5.6036e-06; 39.4784
jupiter; 4.74552; 1.38342; -0.112008; 0.0376937
saturn; 7.28531; 5.65752; -0.388124; 0.0112863
uranus; 13.8314; -14.308; -0.232492; 0.00172372
neptune; 16.242; -25.3751; 0.148228; 0.00203369
sun; 0.000319518; -0.00296186; 5.48517e-06; 39.4784
jupiter; 4.7373; 1.41119; -0.111939; 0.0376937
saturn; 7.27171; 5.67358; -0.387862; 0.0112863
uranus; 13.8417; -14.2987; -0.23259; 0.00172372
neptune; 16.2516; -25.3689; 0.147878; 0.00203369
sun; 0.000330475; -0.00299365; 5.36269e-06; 39.4784
jupiter; 4.72892; 1.43892; -0.111866; 0.0376937
saturn; 7.25807; 5.68961; -0.387598; 0.0112863
uranus; 13.8519; -14.2893; -0.232688; 0.00172372
neptune; 16.2612; -25.3626; 0.147528; 0.00203369
sun; 0.000341591; -0.00302538; 5.23616e-06; 39.4784
jupiter; 4.72039; 1.46659; -0.11179; 0.0376937
saturn; 7.24439; 5.70561; -0.387333; 0.0112863
uranus; 13.8621; -14.28; -0.232786; 0.00172372
neptune; 16.2708; -25.3563; 0.147179; 0.00203369
sun; 0.000352865; -0.00305707; 5.10559e-06; 39.4784
