Name of the body; position x; position y; position z; mass of the body
jupiter; -1.18773; 5.03865; 0.00564496; 0.0376937
saturn; 2.56175; 8.68699; -0.252847; 0.0112863
uranus; 16.3087; -11.5615; -0.254463; 0.00172372
neptune; 18.7224; -23.5635; 0.0539023; 0.00203369
sun; 0.00711924; -0.00749702; -0.000140372; 39.4784
jupiter; -1.21491; 5.03361; 0.00627411; 0.0376937
saturn; 2.54111; 8.6927; -0.252125; 0.0112863
uranus; 16.3169; -11.5504; -0.254529; 0.00172372
neptune; 18.7313; -23.5563; 0.0535487; 0.00203369
sun; 0.00715025; -0.00749455; -0.000141158; 39.4784
jupiter; -1.24206; 5.02843; 0.00690308; 0.0376937
saturn; 2.52046; 8.69837; -0.251402; 0.0112863
uranus; 16.3251; -11.5393; -0.254594; 0.00172372
neptune; 18.7402; -23.549; 0.053195; 0.00203369
sun; 0.00718123; -0.00749193; -0.000141944; 39.4784
jupiter; -1.26917; 5.02311; 0.00753184; 0.0376937
saturn; 2.49979; 8.70399; -0.250677; 0.0112863
uranus; 16.3333; -11.5282; -0.254659; 0.00172372
neptune; 18.7491; -23.5418; 0.0528414; 0.00203369
sun; 0.00721217; -0.00748917; -0.000142731; 39.4784
jupiter; -1.29625; 5.01765; 0.00816038; 0.0376937
saturn; 2.47911; 8.70957; -0.249951; 0.0112863
uranus; 16.3415; -11.5171; -0.254724; 0.00172372
neptune; 18.758; -23.5345; 0.0524877; 0.00203369
sun; 0.00724309; -0.00748626; -0.000143518; 39.4784
jupiter; -1.32328; 5.01205; 0.00878869; 0.0376937
saturn; 2.45842; 8.7151; -0.249223; 0.0112863
uranus; 16.3496; -11.506; -0.254789; 0.00172372
neptune; 18.7669; -23.5273; 0.052134; 0.00203369
sun; 0.00727398; -0.0074832; -0.000144305; 39.4784
jupiter; -1.35029; 5.0063; 0.00941675; 0.0376937
saturn; 2.43771; 8.72058; -0.248494; 0.0112863
uranus; 16.3578; -11.4949; -0.254854; 0.00172372
neptune; 18.7758; -23.5201; 0.0517804; 0.00203369
sun; 0.00730483; -0.00747999; -0.000145092; 39.4784
jupiter; -1.37725; 5.00041; 0.0100445; 0.0376937
saturn; 2.417; 8.72602; -0.247764; 0.0112863
uranus; 16.366; -11.4838; -0.254919; 0.00172372
neptune; 18.7847; -23.5128; 0.0514267; 0.00203369
sun; 0.00733565; -0.00747664; -0.000145879; 39.4784
jupiter; -1.40417; 4.99438; 0.010672; 0.0376937
saturn; 2.39627; 8.73141; -0.247032; 0.0112863
uranus; 16.3741; -11.4727; -0.254983; 0.00172372
neptune; 18.7936; -23.5055; 0.051073; 0.00203369
sun; 0.00736643; -0.00747313; -0.000146667; 39.4784
jupiter; -1.43106; 4.98822; 0.0112992; 0.0376937
saturn; 2.37552; 8.73676; -0.246299; 0.0112863
uranus; 16.3822; -11.4615; -0.255048; 0.00172372
neptune; 18.8025; -23.4983; 0.0507193; 0.00203369
sun; 0.00739719; -0.00746949; -0.000147454; 39.4784
jupiter; -1.4579; 4.98191; 0.0119261; 0.0376937
saturn; 2.35477; 8.74205; -0.245565; 0.0112863
uranus; 16.3904; -11.4504; -0.255112; 0.00172372
neptune; 18.8114; -23.491; 0.0503656; 0.00203369
sun; 0.0074279; -0.00746569; -0.000148241; 39.4784
jupiter; -1.4847; 4.97546; 0.0125526; 0.0376937
saturn; 2.334; 8.7473; -0.24483; 0.0112863
uranus; 16.3985; -11.4393; -0.255176; 0.00172372
neptune; 18.8202; -23.4838; 0.0500119; 0.00203369
sun; 0.00745858; -0.00746175; -0.000149029; 39.4784
jupiter; -1.51147; 4.96887; 0.0131788; 0.0376937
saturn; 2.31322; 8.75251; -0.244093; 0.0112863
uranus; 16.4066; -11.4281; -0.25524; 0.00172372
neptune; 18.8291; -23.4765; 0.0496582; 0.00203369
sun; 0.00748923; -0.00745766; -0.000149816; 39.4784
jupiter; -1.53818; 4.96214; 0.0138046; 0.0376937
saturn; 2.29242; 8.75767; -0.243355; 0.0112863
uranus; 16.4147; -11.417; -0.255304; 0.00172372
neptune; 18.838; -23.4692; 0.0493045; 0.00203369
sun; 0.00751983; -0.00745343; -0.000150604; 39.4784
jupiter; -1.56486; 4.95527; 0.01443; 0.0376937
saturn; 2.27162; 8.76278; -0.242616; 0.0112863
uranus; 16.4228; -11.4058; -0.255368; 0.00172372
neptune; 18.8469; -23.4619; 0.0489508; 0.00203369
sun; 0.0075504; -0.00744905; -0.000151391; 39.4784
jupiter; -1.59149; 4.94827; 0.0150549; 0.0376937
saturn; 2.2508; 8.76784; -0.241875; 0.0112863
uranus; 16.4309; -11.3946; -0.255431; 0.00172372
neptune; 18.8557; -23.4547; 0.048597; 0.00203369
sun; 0.00758093; -0.00744452; -0.000152179; 39.4784
jupiter; -1.61808; 4.94112; 0.0156795; 0.0376937
saturn; 2.22997; 8.77286; -0.241133; 0.0112863
uranus; 16.439; -11.3835; -0.255495; 0.00172372
neptune; 18.8646; -23.4474; 0.0482433; 0.00203369
sun; 0.00761142; -0.00743986; -0.000152966; 39.4784
jupiter; -1.64462; 4.93384; 0.0163036; 0.0376937
saturn; 2.20913; 8.77783; -0.24039; 0.0112863
uranus; 16.4471; -11.3723; -0.255558; 0.00172372
neptune; 18.8735; -23.4401; 0.0478895; 0.00203369
sun; 0.00764187; -0.00743504; -0.000153754; 39.4784
jupiter; -1.67111; 4.92642; 0.0169273; 0.0376937
saturn; 2.18827; 8.78276; -0.239645; 0.0112863
uranus; 16.4551; -11.3611; -0.255621; 0.00172372
neptune; 18.8823; -23.4328; 0.0475358; 0.00203369
sun; 0.00767228; -0.00743008; -0.000154541; 39.4784
jupiter; -1.69756; 4.91886; 0.0175505; 0.0376937
saturn; 2.16741; 8.78764; -0.238899; 0.0112863
uranus; 16.4632; -11.3499; -0.255685; 0.00172372
neptune; 18.8912; -23.4255; 0.047182; 0.00203369
sun; 0.00770265; -0.00742498; -0.000155328; 39.4784
jupiter; -1.72396; 4.91117; 0.0181731; 0.0376937
saturn; 2.14653; 8.79247; -0.238152; 0.0112863
uranus; 16.4713; -11.3387; -0.255748; 0.00172372
neptune; 18.9; -23.4182; 0.0468282; 0.00203369
sun; 0.00773297; -0.00741974; -0.000156115; 39.4784
jupiter; -1.75031; 4.90333; 0.0187953; 0.0376937
saturn; 2.12564; 8.79725; -0.237404; 0.0112863
uranus; 16.4793; -11.3275; -0.255811; 0.00172372
neptune; 18.9089; -23.4109; 0.0464745; 0.00203369
sun; 0.00776326; -0.00741435; -0.000156902; 39.4784
jupiter; -1.77662; 4.89537; 0.019417; 0.0376937
saturn; 2.10474; 8.80199; -0.236654; 0.0112863
uranus; 16.4873; -11.3163; -0.255873; 0.00172372
neptune; 18.9177; -23.4036; 0.0461207; 0.00203369
sun; 0.0077935; -0.00740882; -0.000157689; 39.4784
jupiter; -1.80287; 4.88726; 0.020038; 0.0376937
saturn; 2.08383; 8.80668; -0.235903; 0.0112863
uranus; 16.4954; -11.3051; -0.255936; 0.00172372
neptune; 18.9266; -23.3963; 0.0457669; 0.00203369
sun; 0.00782369; -0.00740314; -0.000158475; 39.4784
jupiter; -1.82907; 4.87902; 0.0206586; 0.0376937
saturn; 2.06291; 8.81132; -0.235151; 0.0112863
uranus; 16.5034; -11.2939; -0.255998; 0.00172372
neptune; 18.9354; -23.389; 0.0454131; 0.00203369
sun; 0.00785384; -0.00739732; -0.000159261; 39.4784
jupiter; -1.85522; 4.87064; 0.0212785; 0.0376937
saturn; 2.04198; 8.81592; -0.234398; 0.0112863
uranus; 16.5114; -11.2827; -0.256061; 0.00172372
neptune; 18.9443; -23.3817; 0.0450593; 0.00203369
sun; 0.00788394; -0.00739136; -0.000160048; 39.4784
jupiter; -1.88132; 4.86213; 0.0218979; 0.0376937
saturn; 2.02103; 8.82047; -0.233643; 0.0112863
uranus; 16.5194; -11.2715; -0.256123; 0.00172372
neptune; 18.9531; -23.3744; 0.0447055; 0.00203369
sun; 0.007914; -0.00738526; -0.000160834; 39.4784
jupiter; -1.90737; 4.85348; 0.0225166; 0.0376937
saturn; 2.00008; 8.82497; -0.232887; 0.0112863
uranus; 16.5274; -11.2602; -0.256185; 0.00172372
neptune; 18.9619; -23.367; 0.0443516; 0.00203369
sun; 0.00794401; -0.00737902; -0.000161619; 39.4784
jupiter; -1.93337; 4.8447; 0.0231348; 0.0376937
saturn; 1.97911; 8.82943; -0.23213; 0.0112863
uranus; 16.5354; -11.249; -0.256247; 0.00172372
neptune; 18.9708; -23.3597; 0.0439978; 0.00203369
sun; 0.00797397; -0.00737264; -0.000162405; 39.4784
jupiter; -1.95931; 4.83579; 0.0237522; 0.0376937
saturn; 1.95814; 8.83384; -0.231372; 0.0112863
uranus; 16.5434; -11.2378; -0.256309; 0.00172372
neptune; 18.9796; -23.3524; 0.043644; 0.00203369
sun; 0.00800388; -0.00736611; -0.00016319; 39.4784
jupiter; -1.9852; 4.82674; 0.024369; 0.0376937
saturn; 1.93715; 8.8382; -0.230612; 0.0112863
uranus; 16.5513; -11.2265; -0.256371; 0.00172372
neptune; 18.9884; -23.3451; 0.0432901; 0.00203369
sun; 0.00803375; -0.00735945; -0.000163975; 39.4784
jupiter; -2.01103; 4.81755; 0.0249852; 0.0376937
saturn; 1.91616; 8.84251; -0.229852; 0.0112863
uranus; 16.5593; -11.2153; -0.256432; 0.00172372
neptune; 18.9973; -23.3377; 0.0429363; 0.00203369
sun; 0.00806356; -0.00735264; -0.000164759; 39.4784
jupiter; -2.0368; 4.80824; 0.0256006; 0.0376937
saturn; 1.89515; 8.84678; -0.22909; 0.0112863
uranus; 16.5672; -11.204; -0.256494; 0.00172372
neptune; 19.0061; -23.3304; 0.0425825; 0.00203369
sun; 0.00809333; -0.0073457; -0.000165543; 39.4784
jupiter; -2.06252; 4.79879; 0.0262153; 0.0376937
saturn; 1.87413; 8.851; -0.228326; 0.0112863
uranus; 16.5752; -11.1927; -0.256555; 0.00172372
neptune; 19.0149; -23.3231; 0.0422286; 0.00203369
sun; 0.00812304; -0.00733861; -0.000166327; 39.4784
jupiter; -2.08819; 4.78921; 0.0268293; 0.0376937
saturn; 1.85311; 8.85517; -0.227562; 0.0112863
uranus; 16.5831; -11.1815; -0.256617; 0.00172372
neptune; 19.0237; -23.3157; 0.0418747; 0.00203369
sun; 0.0081527; -0.00733139; -0.000167111; 39.4784
jupiter; -2.11379; 4.7795; 0.0274426; 0.0376937
saturn; 1.83207; 8.8593; -0.226796; 0.0112863
uranus; 16.5911; -11.1702; -0.256678; 0.00172372
neptune; 19.0325; -23.3084; 0.0415209; 0.00203369
sun; 0.00818231; -0.00732403; -0.000167894; 39.4784
jupiter; -2.13934; 4.76965; 0.028055; 0.0376937
saturn; 1.81102; 8.86338; -0.226029; 0.0112863
uranus; 16.599; -11.1589; -0.256739; 0.00172372
neptune; 19.0413; -23.301; 0.041167; 0.00203369
sun; 0.00821187; -0.00731653; -0.000168677; 39.4784
jupiter; -2.16483; 4.75968; 0.0286667; 0.0376937
saturn; 1.78997; 8.86741; -0.225261; 0.0112863
uranus; 16.6069; -11.1476; -0.2568; 0.00172372
neptune; 19.0501; -23.2937; 0.0408131; 0.00203369
sun; 0.00824137; -0.00730889; -0.000169459; 39.4784
jupiter; -2.19025; 4.74957; 0.0292777; 0.0376937
saturn; 1.7689; 8.87139; -0.224492; 0.0112863
uranus; 16.6148; -11.1363; -0.25686; 0.00172372
neptune; 19.0589; -23.2863; 0.0404592; 0.00203369
sun; 0.00827082; -0.00730111; -0.000170241; 39.4784
jupiter; -2.21562; 4.73933; 0.0298878; 0.0376937
saturn; 1.74783; 8.87533; -0.223721; 0.0112863
uranus; 16.6227; -11.125; -0.256921; 0.00172372
neptune; 19.0677; -23.2789; 0.0401053; 0.00203369
sun; 0.00830021; -0.0072932; -0.000171023; 39.4784
jupiter; -2.24093; 4.72896; 0.0304971; 0.0376937
saturn; 1.72674; 8.87922; -0.222949; 0.0112863
uranus; 16.6306; -11.1137; -0.256981; 0.00172372
neptune; 19.0765; -23.2716; 0.0397514; 0.00203369
sun; 0.00832955; -0.00728515; -0.000171804; 39.4784
jupiter; -2.26617; 4.71847; 0.0311055; 0.0376937
saturn; 1.70565; 8.88306; -0.222177; 0.0112863
uranus; 16.6385; -11.1024; -0.257042; 0.00172372
neptune; 19.0853; -23.2642; 0.0393975; 0.00203369
sun; 0.00835883; -0.00727696; -0.000172584; 39.4784
jupiter; -2.29136; 4.70784; 0.0317131; 0.0376937
saturn; 1.68454; 8.88686; -0.221402; 0.0112863
uranus; 16.6463; -11.0911; -0.257102; 0.00172372
neptune; 19.0941; -23.2568; 0.0390436; 0.00203369
sun; 0.00838805; -0.00726863; -0.000173364; 39.4784
jupiter; -2.31648; 4.69709; 0.0323198; 0.0376937
saturn; 1.66343; 8.8906; -0.220627; 0.0112863
uranus; 16.6542; -11.0798; -0.257162; 0.00172372
neptune; 19.1029; -23.2495; 0.0386897; 0.00203369
sun; 0.00841722; -0.00726018; -0.000174144; 39.4784
jupiter; -2.34153; 4.6862; 0.0329256; 0.0376937
saturn; 1.64231; 8.8943; -0.219851; 0.0112863
uranus; 16.662; -11.0685; -0.257222; 0.00172372
neptune; 19.1117; -23.2421; 0.0383358; 0.00203369
sun; 0.00844632; -0.00725158; -0.000174923; 39.4784
jupiter; -2.36652; 4.67519; 0.0335305; 0.0376937
saturn; 1.62118; 8.89796; -0.219073; 0.0112863
uranus; 16.6699; -11.0571; -0.257282; 0.00172372
neptune; 19.1205; -23.2347; 0.0379819; 0.00203369
sun; 0.00847537; -0.00724285; -0.000175701; 39.4784
jupiter; -2.39145; 4.66405; 0.0341345; 0.0376937
saturn; 1.60004; 8.90156; -0.218294; 0.0112863
uranus; 16.6777; -11.0458; -0.257342; 0.00172372
neptune; 19.1293; -23.2273; 0.0376279; 0.00203369
sun; 0.00850436; -0.00723399; -0.000176479; 39.4784
jupiter; -2.41631; 4.65278; 0.0347376; 0.0376937
saturn; 1.5789; 8.90512; -0.217514; 0.0112863
uranus; 16.6856; -11.0344; -0.257401; 0.00172372
neptune; 19.1381; -23.2199; 0.037274; 0.00203369
sun; 0.00853329; -0.00722499; -0.000177257; 39.4784
jupiter; -2.44111; 4.64139; 0.0353397; 0.0376937
saturn; 1.55774; 8.90863; -0.216733; 0.0112863
uranus; 16.6934; -11.0231; -0.257461; 0.00172372
neptune; 19.1468; -23.2125; 0.03692; 0.00203369
sun; 0.00856216; -0.00721585; -0.000178033; 39.4784
jupiter; -2.46584; 4.62987; 0.0359408; 0.0376937
saturn; 1.53658; 8.91209; -0.215951; 0.0112863
uranus; 16.7012; -11.0117; -0.25752; 0.00172372
neptune; 19.1556; -23.2052; 0.0365661; 0.00203369
sun; 0.00859097; -0.00720659; -0.00017881; 39.4784
jupiter; -2.4905; 4.61822; 0.036541; 0.0376937
saturn; 1.51541; 8.91551; -0.215168; 0.0112863
uranus; 16.709; -11.0004; -0.257579; 0.00172372
neptune; 19.1644; -23.1978; 0.0362121; 0.00203369
sun; 0.00861971; -0.00719719; -0.000179585; 39.4784
jupiter; -2.51509; 4.60645; 0.0371401; 0.0376937
